president,approval,timestamp
Trump,42.47778,20 Jun 2019
Trump,41.37786,20 Jun 2020
Trump,42.56183,20 Mar 2017
Trump,40.73125,20 Mar 2018
Trump,41.41262,20 Mar 2019
Trump,43.182827,20 Mar 2020
Trump,38.80148,20 May 2017
Trump,41.874629999999996,20 May 2019
Trump,43.52834,20 May 2020
Biden,52.932221,20 May 2021
Trump,38.11539,20 Nov 2017
Trump,42.40171,20 Nov 2018
Trump,41.351546,20 Nov 2019
Trump,44.295322,20 Nov 2020
Trump,37.84346,20 Oct 2017
Trump,42.26097,20 Oct 2018
Trump,41.529765,20 Oct 2019
Trump,42.778566,20 Oct 2020
Biden,43.755654,20 Oct 2021
Trump,39.06307,20 Sep 2017
Trump,40.45973,20 Sep 2018
Trump,42.20652,20 Sep 2019
Trump,43.1117105,20 Sep 2020
Biden,46.004901,20 Sep 2021
Trump,41.89439,21 Apr 2017
Trump,43.721279,21 Apr 2020
Biden,53.431994,21 Apr 2021
Trump,37.05765,21 Aug 2017
Trump,41.77507,21 Aug 2018
Trump,41.93464,21 Aug 2019
Trump,41.802282,21 Aug 2020
Biden,49.017734,21 Aug 2021
Trump,37.0453,21 Dec 2017
Trump,42.20303,21 Dec 2018
Trump,43.36489866666667,21 Dec 2020
Biden,43.664251,21 Dec 2021
Trump,40.54642,21 Feb 2018
Trump,42.45333,21 Feb 2019
Trump,43.309826,21 Feb 2020
Trump,39.29124,21 Jan 2018
Trump,39.97243,21 Jan 2019
Trump,42.222053,21 Jan 2020
Trump,38.3734,21 Jul 2017
Trump,41.71679,21 Jul 2018
Trump,42.694995000000006,21 Jul 2019
Trump,40.293817,21 Jul 2020
Biden,52.102192,21 Jul 2021
Trump,38.40358,21 Jun 2017
Trump,42.56531,21 Jun 2018
Trump,42.61736,21 Jun 2019
Biden,51.72956233333333,21 Jun 2021
Trump,42.41769,21 Mar 2017
Trump,40.58772,21 Mar 2018
Trump,41.64378,21 Mar 2019
Trump,38.83015,21 May 2017
Trump,42.260400000000004,21 May 2018
Trump,41.18523,21 May 2019
Trump,42.774187,21 May 2020
Biden,54.185913,21 May 2021
Trump,38.16841,21 Nov 2017
Trump,42.87212,21 Nov 2018
Trump,41.876382,21 Nov 2019
Trump,44.229078,21 Nov 2020
Biden,42.6428945,21 Nov 2021
Trump,37.86096,21 Oct 2017
